10046 14:50:26 X:-0.422 Y:+0.110 T:+11.5.
10084 14:50:26 X:+0.202 Y:+0.072 T:+11.5.
10122 14:50:27 X:-0.387 Y:+0.108 T:+11.5.
10160 14:50:27 X:-0.008 Y:+0.089 T:+11.5.
10198 14:50:28 X:-0.084 Y:+0.084 T:+11.5.
10236 14:50:28 X:-0.314 Y:+0.106 T:+11.5.
10274 14:50:28 X:+0.083 Y:+0.086 T:+11.5.
10312 14:50:29 X:-0.334 Y:+0.101 T:+11.5.
10350 14:50:29 X:+0.060 Y:+0.085 T:+11.5.
10388 14:50:30 X:-0.193 Y:+0.102 T:+11.5.
10417 14:50:30 X:-0.082 Y:+0.090 T:+11.5.
10455 14:50:30 X:-0.029 Y:+0.089 T:+11.5.
10493 14:50:31 X:-0.247 Y:+0.108 T:+11.5.
10530 14:50:31 X:+0.105 Y:+0.084 T:+11.5.
10568 14:50:32 X:-0.255 Y:+0.103 T:+11.5.
10606 14:50:32 X:+0.008 Y:+0.096 T:+11.5.
10644 14:50:32 X:-0.095 Y:+0.096 T:+11.5.
10682 14:50:33 X:-0.146 Y:+0.097 T:+11.5.
10719 14:50:33 X:+0.039 Y:+0.096 T:+11.5.
10737 14:50:34 X:-0.240 Y:+0.108 T:+11.5.
10775 14:50:34 X:+0.071 Y:+0.085 T:+11.5.
10813 14:50:34 X:-0.131 Y:+0.104 T:+11.5.
10851 14:50:35 X:-0.095 Y:+0.101 T:+11.5.
10889 14:50:35 X:-0.010 Y:+0.090 T:+11.5.
10927 14:50:36 X:-0.226 Y:+0.108 T:+11.5.
10965 14:50:36 X:+0.109 Y:+0.096 T:+11.5.
11003 14:50:36 X:-0.167 Y:+0.105 T:+11.5.
11041 14:50:37 X:-0.018 Y:+0.100 T:+11.5.
11079 14:50:37 X:-0.042 Y:+0.108 T:+11.5.
11117 14:50:38 X:-0.165 Y:+0.110 T:+11.5.
11155 14:50:38 X:+0.065 Y:+0.095 T:+11.5.
11193 14:50:38 X:-0.201 Y:+0.116 T:+11.5.
11231 14:50:39 X:+0.079 Y:+0.098 T:+11.5.
11269 14:50:39 X:-0.123 Y:+0.104 T:+11.5.
11307 14:50:40 X:-0.080 Y:+0.110 T:+11.5.
11345 14:50:40 X:-0.015 Y:+0.104 T:+11.5.
11383 14:50:41 X:-0.177 Y:+0.109 T:+11.5.
11421 14:50:41 X:+0.032 Y:+0.103 T:+11.5.
11459 14:50:41 X:-0.150 Y:+0.112 T:+11.5.
11497 14:50:42 X:-0.037 Y:+0.102 T:+11.5.
11611 14:50:43 X:-0.013 Y:+0.101 T:+11.5.
11649 14:50:43 X:-0.159 Y:+0.110 T:+11.5.
11687 14:50:44 X:-0.030 Y:+0.107 T:+11.5.
11725 14:50:44 X:-0.059 Y:+0.103 T:+11.5.
11763 14:50:45 X:-0.176 Y:+0.111 T:+11.5.
11875 14:50:46 X:-0.066 Y:+0.106 T:+11.5.
11913 14:50:46 X:-0.042 Y:+0.104 T:+11.5.
11951 14:50:47 X:-0.282 Y:+0.116 T:+11.5.
11989 14:50:47 X:+0.162 Y:+0.092 T:+11.5.
12027 14:50:47 X:-0.243 Y:+0.114 T:+11.5.
12065 14:50:48 X:-0.044 Y:+0.104 T:+11.5.
12103 14:50:48 X:-0.096 Y:+0.105 T:+11.5.
12141 14:50:49 X:-0.187 Y:+0.111 T:+11.5.
12179 14:50:49 X:+0.062 Y:+0.096 T:+11.5.
12217 14:50:49 X:-0.311 Y:+0.118 T:+11.5.
12255 14:50:50 X:+0.083 Y:+0.099 T:+11.5.
12293 14:50:50 X:-0.257 Y:+0.116 T:+11.5.
12331 14:50:51 X:+0.043 Y:+0.099 T:+11.5.
12369 14:50:51 X:-0.109 Y:+0.108 T:+11.5.
12407 14:50:51 X:-0.216 Y:+0.114 T:+11.5.
12445 14:50:52 X:+0.138 Y:+0.095 T:+11.5.
12483 14:50:52 X:-0.333 Y:+0.124 T:+11.5.
12520 14:50:53 X:+0.219 Y:+0.093 T:+11.5.
12558 14:50:53 X:-0.288 Y:+0.116 T:+11.5.
12596 14:50:54 X:+0.015 Y:+0.104 T:+11.5.
12634 14:50:54 X:-0.044 Y:+0.108 T:+11.5.
12672 14:50:54 X:-0.151 Y:+0.117 T:+11.5.
12710 14:50:55 X:+0.196 Y:+0.099 T:+11.5.
12748 14:50:55 X:-0.242 Y:+0.123 T:+11.5.
12786 14:50:56 X:+0.161 Y:+0.096 T:+11.5.
12824 14:50:56 X:-0.299 Y:+0.126 T:+11.5.
12862 14:50:56 X:+0.091 Y:+0.110 T:+11.5.
12900 14:50:57 X:-0.053 Y:+0.116 T:+11.5.
12938 14:50:57 X:-0.083 Y:+0.116 T:+11.5.
12976 14:50:58 X:+0.044 Y:+0.110 T:+11.5.
13014 14:50:58 X:-0.129 Y:+0.116 T:+11.5.
13052 14:50:58 X:-0.010 Y:+0.114 T:+11.5.
13090 14:50:59 X:-0.088 Y:+0.123 T:+11.5.
13128 14:50:59 X:-0.079 Y:+0.119 T:+11.5.
13166 14:51:00 X:+0.032 Y:+0.109 T:+11.5.
13204 14:51:00 X:-0.129 Y:+0.119 T:+11.5.
13241 14:51:00 X:-0.004 Y:+0.114 T:+11.5.
13279 14:51:01 X:-0.055 Y:+0.117 T:+11.5.
13317 14:51:01 X:-0.076 Y:+0.119 T:+11.5.
13355 14:51:02 X:+0.043 Y:+0.109 T:+11.5.
13393 14:51:02 X:-0.178 Y:+0.116 T:+11.5.
13431 14:51:02 X:+0.005 Y:+0.110 T:+11.5.
